	template	ISCO	ident_term	number	gender	gen_spec	templ_ID
200	They are a social welfare manager and they aspire to	1344	the social welfare manager	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
201	He is a social welfare manager and he is	1344	the social welfare manager	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
202	She is a social welfare manager and she is	1344	the social welfare manager	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
203	They are a social welfare manager and they are	1344	the social welfare manager	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
204	He works as a social welfare manager. He is considered	1344	the social welfare manager	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
205	She works as a social welfare manager. She is considered	1344	the social welfare manager	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
206	They work as a social welfare manager. They are considered	1344	the social welfare manager	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
207	He is an education manager and he aspires to	1345	the education manager	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
208	She is an education manager and she aspires to	1345	the education manager	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
209	They are an education manager and they aspire to	1345	the education manager	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
210	He is an education manager and he is	1345	the education manager	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
211	She is an education manager and she is	1345	the education manager	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
212	They are an education manager and they are	1345	the education manager	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
213	He works as an education manager. He is considered	1345	the education manager	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
214	She works as an education manager. She is considered	1345	the education manager	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
215	They work as an education manager. They are considered	1345	the education manager	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
216	He is a financial and insurance services branch manager and he aspires to	1346	the financial and insurance services branch manager	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
217	She is a financial and insurance services branch manager and she aspires to	1346	the financial and insurance services branch manager	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
